Location,Year,Month Number,Humidity,Pressure,Low,High,Average Temperature,Month
Nairobi,2018,1,0.53,1019,13,29,21,January
Nairobi,2018,2,0.5,1019,13,30,21.5,February
Nairobi,2018,3,0.75,1019,14,27,20.5,March
Nairobi,2018,4,0.77,1020,16,27,21.5,April
Nairobi,2018,5,0.78,1021,13,25,19,May
Nairobi,2018,6,0.8,1023,12,24,18,June
Nairobi,2018,7,0.74,1024,11,24,17.5,July
Nairobi,2018,8,0.71,1023,11,29,20,August
Nairobi,2018,9,0.64,1021,12,28,20,September
Nairobi,2018,10,0.68,1021,14,29,21.5,October
Nairobi,2018,11,0.68,1020,13,29,21,November
Nairobi,2018,12,0.72,1021,15,27,21,December
Nairobi,2019,1,0.56,1020,15,29,22,January
Nairobi,2019,2,0.5,1020,14,30,22,February
Nairobi,2019,3,0.51,1020,14,32,23,March
Nairobi,2019,4,0.62,1020,17,31,24,April
Nairobi,2019,5,0.74,1021,15,27,21,May
Nairobi,2019,6,0.78,1022,14,27,20.5,june
Nairobi,2019,7,0.67,1022,11,27,19,July
Nairobi,2019,8,0.64,1023,11,27,19,August
Nairobi,2019,9,0.65,1021,11,29,20,september
Nairobi,2019,10,0.74,1020,14,28,21,October
Nairobi,2019,11,0.74,1019,16,27,21.5,November
Nairobi,2019,12,0.78,1019,15,26,20.5,December
Nairobi,2020,1,0.73,1020,15,27,21,January
Nairobi,2020,2,0.66,1020,15,29,22,February
Nairobi,2020,3,0.71,1020,15,29,22,March
Nairobi,2020,4,0.77,1021,15,28,21.5,April
Nairobi,2020,5,0.74,1022,13,27,20,May
Nairobi,2020,6,0.73,1022,12,26,19,June
Nairobi,2020,7,0.71,1021,11,26,18.5,July
Nairobi,2020,8,0.69,1021,11,28,19.5,August
Nairobi,2020,9,0.68,1021,11,29,20,September
Nairobi,2020,10,0.64,1020,14,29,21.5,October
Nairobi,2020,11,0.72,1020,14,28,21,November
Nairobi,2020,12,0.63,1019,12,28,20,December
Nairobi,2021,1,0.63,1019,14,28,21,January
Nairobi,2021,2,0.62,1019,13,29,21,February
Nairobi,2021,3,0.57,1019,14,29,21.5,March
Nairobi,2021,4,0.72,1020,15,29,22,April
Nairobi,2021,5,0.76,1021,13,27,20,may
Nairobi,2021,6,0.74,1022,12,25,18.5,june
Nairobi,2021,7,0.72,1023,12,26,19,July
Nairobi,2021,8,0.67,1022,10,30,20,August
Nairobi,2021,9,0.64,1021,11,29,20,September
Nairobi,2021,10,0.62,1020,14,30,22,October
Nairobi,2021,11,0.61,1020,15,29,22,November
Nairobi,2021,12,0.76,1020,15,26,20.5,December
Nairobi,2022,1,0.62,1020,14,29,21.5,January
Nairobi,2022,2,0.6,1019,14,30,22,February
Nairobi,2022,3,0.53,1019,14,31,22.5,march
Nairobi,2022,4,0.68,1019,16,28,22,April
Nairobi,2022,5,0.69,1021,14,28,21,may
Nairobi,2022,6,0.65,1022,12,26,19,june
Nairobi,2022,7,0.67,1023,12,25,18.5,july
Nairobi,2022,8,0.67,1022,10,28,19,August
Nairobi,2022,9,0.62,1022,11,27,19,September
Nairobi,2022,10,0.54,1022,12,29,20.5,October
Nairobi,2022,11,0.71,1021,15,27,21,November
Nairobi,2022,12,0.65,1020,13,27,20,December
Nairobi,2023,1,0.54,1021,12,29,20.5,January
Nairobi,2023,2,0.44,1021,13,30,21.5,February
Nairobi,2023,3,0.56,1021,15,30,22.5,March
Nairobi,2023,4,0.74,1021,15,28,21.5,april
Nairobi,2023,5,0.7,1024,14,28,21,may
Nairobi,2023,6,0.67,1024,13,28,20.5,june
Nairobi,2023,7,0.63,1026,12,28,20,July
Nairobi,2023,8,0.59,1025,12,29,20.5,August
Nairobi,2023,9,0.61,1023,15,29,22,September
Nairobi,2023,10,0.57,1023,14,29,21.5,October
Mombasa,2018,1,0.79,1010,22,30,26,January
Mombasa,2018,2,0.79,1010,23,33,28,February
Mombasa,2018,3,0.82,1010,24,32,28,March
Mombasa,2018,4,0.82,1011,24,32,28,April
Mombasa,2018,5,0.85,1013,22,31,26.5,may
Mombasa,2018,6,0.84,1016,22,30,26,june
Mombasa,2018,7,0.83,1018,21,28,24.5,July
Mombasa,2018,8,0.79,1018,21,28,24.5,August
Mombasa,2018,9,0.81,1015,18,29,23.5,September
Mombasa,2018,10,0.81,1014,22,29,25.5,October
Mombasa,2018,11,0.87,1013,22,31,26.5,November
Mombasa,2018,12,0.82,1012,18,32,25,December
Mombasa,2019,1,0.77,1012,24,33,28.5,January
Mombasa,2019,2,0.75,1012,24,33,28.5,February
Mombasa,2019,3,0.76,1011,13,35,24,March
Mombasa,2019,4,0.78,1011,24,34,29,April
Mombasa,2019,5,0.85,1013,23,33,28,may
Mombasa,2019,6,0.79,1015,21,30,25.5,june
Mombasa,2019,7,0.8,1016,20,30,25,July
Mombasa,2019,8,0.82,1017,21,30,25.5,August
Mombasa,2019,9,0.83,1015,22,30,26,September
Mombasa,2019,10,0.86,1012,22,30,26,October
Mombasa,2019,11,0.85,1011,24,32,28,November
Mombasa,2019,12,0.85,1010,22,32,27,December
Mombasa,2020,1,0.8,1011,24,34,29,January
Mombasa,2020,2,0.8,1011,25,33,29,February
Mombasa,2020,3,0.8,1010,24,34,29,March
Mombasa,2020,4,0.84,1012,24,33,28.5,April
Mombasa,2020,5,0.82,1015,22,32,27,may
Mombasa,2020,6,0.79,1015,22,31,26.5,june
Mombasa,2020,7,0.78,1015,21,29,25,July
Mombasa,2020,8,0.82,1016,21,29,25,August
Mombasa,2020,9,0.78,1015,22,31,26.5,September
Mombasa,2020,10,0.78,1013,23,31,27,October
Mombasa,2020,11,0.8,1012,23,32,27.5,November
Mombasa,2020,12,0.79,1011,24,33,28.5,December
Mombasa,2021,1,0.75,1011,24,32,28,January
Mombasa,2021,2,0.74,1011,23,33,28,February
Mombasa,2021,3,0.7,1011,24,35,29.5,march
Mombasa,2021,4,0.76,1012,25,33,29,April
Mombasa,2021,5,0.73,1014,23,32,27.5,May
Mombasa,2021,6,0.73,1016,21,30,25.5,june
Mombasa,2021,7,0.75,1017,21,29,25,July
Mombasa,2021,8,0.76,1016,22,30,26,August
Mombasa,2021,9,0.76,1015,22,30,26,september
Mombasa,2021,10,0.73,1013,23,31,27,October
Mombasa,2021,11,0.75,1012,22,33,27.5,November
Mombasa,2021,12,0.76,1012,24,33,28.5,December
Mombasa,2022,1,0.72,1011,24,33,28.5,January
Mombasa,2022,2,0.7,1010,24,34,29,February
Mombasa,2022,3,0.71,1010,25,34,29.5,March
Mombasa,2022,4,0.76,1011,25,34,29.5,April
Mombasa,2022,5,0.77,1014,23,31,27,may
Mombasa,2022,6,0.79,1016,16,29,22.5,june
Mombasa,2022,7,0.78,1016,21,29,25,July
Mombasa,2022,8,0.75,1016,20,28,24,August
Mombasa,2022,9,0.71,1015,21,29,25,September
Mombasa,2022,10,0.71,1015,21,31,26,October
Mombasa,2022,11,0.76,1012,23,35,29,November
Mombasa,2022,12,0.71,1010,24,34,29,December
Mombasa,2023,1,0.68,1011,23,34,28.5,January
Mombasa,2023,2,0.64,1010,24,34,29,February
Mombasa,2023,3,0.67,1010,24,34,29,March
Mombasa,2023,4,0.77,1010,23,33,28,April
Mombasa,2023,5,0.79,1014,22,31,26.5,may
Mombasa,2023,6,0.78,1015,22,31,26.5,june
Mombasa,2023,7,0.78,1017,22,29,25.5,July
Mombasa,2023,8,0.76,1017,21,30,25.5,August
Mombasa,2023,9,0.74,1014,22,31,26.5,September
Mombasa,2023,10,0.76,1013,23,32,27.5,October
Naivasha,2018,1,0.53,1019,13,29,21,January
Naivasha,2018,2,0.5,1019,13,30,21.5,February
Naivasha,2018,3,0.75,1019,14,27,20.5,March
Naivasha,2018,4,0.77,1020,16,27,21.5,April
Naivasha,2018,5,0.78,1021,13,25,19,may
Naivasha,2018,6,0.8,1023,12,24,18,june
Naivasha,2018,7,0.74,1024,11,24,17.5,July
Naivasha,2018,8,0.71,1023,11,29,20,August
Naivasha,2018,9,0.64,1021,12,28,20,September
Naivasha,2018,10,0.68,1021,14,29,21.5,October
Naivasha,2018,11,0.68,1020,13,29,21,November
Naivasha,2018,12,0.72,1021,27,31,29,December
Naivasha,2019,1,0.56,1020,15,29,22,January
Naivasha,2019,2,0.5,1020,14,30,22,February
Naivasha,2019,3,0.51,1020,14,32,23,March
Naivasha,2019,4,0.62,1020,17,31,24,April
Naivasha,2019,5,0.74,1021,15,27,21,may
Naivasha,2019,6,0.78,1022,14,27,20.5,june
Naivasha,2019,7,0.67,1022,11,27,19,July
Naivasha,2019,8,0.64,1023,11,27,19,August
Naivasha,2019,9,0.65,1021,11,29,20,September
Naivasha,2019,10,0.74,1020,14,28,21,October
Naivasha,2019,11,0.74,1019,16,27,21.5,November
Naivasha,2019,12,0.78,1019,15,26,20.5,December
Naivasha,2020,1,0.73,1020,15,27,21,January
Naivasha,2020,2,0.66,1020,15,29,22,February
Naivasha,2020,3,0.71,1020,15,29,22,march
Naivasha,2020,4,0.77,1021,15,28,21.5,April
Naivasha,2020,5,0.74,1022,13,27,20,may
Naivasha,2020,6,0.73,1022,12,26,19,june
Naivasha,2020,7,0.71,1021,11,26,18.5,July
Naivasha,2020,8,0.69,1021,11,28,19.5,August
Naivasha,2020,9,0.68,1021,11,29,20,September
Naivasha,2020,10,0.64,1020,14,29,21.5,October
Naivasha,2020,11,0.72,1020,14,28,21,November
Naivasha,2020,12,0.63,1019,12,28,20,December
Naivasha,2021,1,0.63,1019,14,28,21,January
Naivasha,2021,2,0.62,1019,13,29,21,February
Naivasha,2021,3,0.57,1019,14,29,21.5,march
Naivasha,2021,4,0.72,1020,15,29,22,April
Naivasha,2021,5,0.76,1021,13,27,20,may
Naivasha,2021,6,0.74,1022,12,25,18.5,june
Naivasha,2021,7,0.72,1023,12,26,19,July
Naivasha,2021,8,0.67,1022,10,30,20,August
Naivasha,2021,9,0.64,1021,11,29,20,September
Naivasha,2021,10,0.62,1020,14,30,22,October
Naivasha,2021,11,0.61,1020,15,29,22,November
Naivasha,2021,12,0.76,1020,15,26,20.5,December
Naivasha,2022,1,0.62,1020,14,29,21.5,January
Naivasha,2022,2,0.6,1019,14,30,22,February
Naivasha,2022,3,0.53,1019,14,31,22.5,march
Naivasha,2022,4,0.68,1019,16,28,22,April
Naivasha,2022,5,0.69,1021,14,28,21,may
Naivasha,2022,6,0.65,1022,12,26,19,june
Naivasha,2022,7,0.67,1023,12,25,18.5,July
Naivasha,2022,8,0.67,1022,10,28,19,August
Naivasha,2022,9,0.62,1022,11,27,19,September
Naivasha,2022,10,0.54,1022,12,29,20.5,October
Naivasha,2022,11,0.71,1021,15,27,21,November
Naivasha,2022,12,0.65,1020,13,27,20,December
Naivasha,2023,1,0.54,1021,12,29,20.5,January
Naivasha,2023,2,0.44,1021,13,30,21.5,February
Naivasha,2023,3,0.56,1021,15,30,22.5,March
Naivasha,2023,4,0.74,1021,15,28,21.5,April
Naivasha,2023,5,0.7,1024,14,28,21,may
Naivasha,2023,6,0.67,1024,13,28,20.5,june
Naivasha,2023,7,0.63,1026,12,28,20,July
Naivasha,2023,8,0.59,1025,12,29,20.5,August
Naivasha,2023,9,0.61,1023,15,29,22,september
Naivasha,2023,10,0.57,1023,14,29,21.5,October
